Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:09,2023-08-28 13:52:09,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:09,2023-08-28 13:52:09,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:09,2023-08-28 13:52:09,0.000s,PASSED
"randomNumber = ""0886"" + lastNineDigits",,,,2023-08-28 13:52:09,2023-08-28 13:52:09,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:09,2023-08-28 13:52:09,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:09,2023-08-28 13:52:11,1.163s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0887 SMARTFREN,,,,2023-08-28 13:52:11,2023-08-28 13:52:12,1.457s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:11,2023-08-28 13:52:11,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:11,2023-08-28 13:52:11,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:11,2023-08-28 13:52:11,0.000s,PASSED
"randomNumber = ""0887"" + lastNineDigits",,,,2023-08-28 13:52:11,2023-08-28 13:52:11,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:11,2023-08-28 13:52:11,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:11,2023-08-28 13:52:12,1.233s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0888 SMARTFREN,,,,2023-08-28 13:52:12,2023-08-28 13:52:14,1.527s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:12,2023-08-28 13:52:12,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:12,2023-08-28 13:52:12,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:12,2023-08-28 13:52:12,0.000s,PASSED
"randomNumber = ""0888"" + lastNineDigits",,,,2023-08-28 13:52:12,2023-08-28 13:52:12,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:12,2023-08-28 13:52:12,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:12,2023-08-28 13:52:14,1.316s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0889 SMARTFREN,,,,2023-08-28 13:52:14,2023-08-28 13:52:15,1.471s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:14,2023-08-28 13:52:14,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:14,2023-08-28 13:52:14,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:14,2023-08-28 13:52:14,0.000s,PASSED
"randomNumber = ""0889"" + lastNineDigits",,,,2023-08-28 13:52:14,2023-08-28 13:52:14,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:14,2023-08-28 13:52:14,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:14,2023-08-28 13:52:15,1.218s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0895 TRI plus kondisi bunda SGM,,,,2023-08-28 13:52:15,2023-08-28 13:52:17,1.421s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:15,2023-08-28 13:52:15,0.004s,PASSED
